2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000075 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000076 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000077 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000078 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000079 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000080 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000081 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000082 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000083 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000084 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000085 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000086 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000087 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000088 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000089 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000090 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000091 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000092 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000093 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000094 - no suitable hosts
2025-09-19 00:06:57 | WARNING  | cloud_scheduler.scheduling.baseline:schedule_workload:107 | Could not schedule workload wl_batch_000095 - no suitable hosts
